amount,hour,previous_transactions_24h,failed_attempts,distance_from_home_km,account_age_days,card_present,international_transaction,transaction_type,merchant_category,is_fraud
6501.1,13,4,0,26.42,888,Yes,No,ATM,Electronics,1
3585.39,9,2,0,33.83,217,Yes,No,POS,Other,0
1542.2,13,7,0,19.19,1856,Yes,Yes,Online,Other,0
5854.62,8,2,1,19.17,1629,No,No,POS,Travel,0
2567.34,11,5,0,33.41,314,Yes,No,Transfer,Travel,0
5678.07,16,4,1,59.57,354,No,No,Online,Travel,0
2258.39,17,5,0,26.38,2310,No,No,Online,Fuel,0
4924.21,3,3,1,86.48,2481,Yes,No,Transfer,Electronics,0
2498.13,23,7,0,5.23,1065,Yes,No,POS,Travel,0
6502.62,2,2,1,84.63,2937,Yes,No,POS,Restaurant,1
610.56,6,7,0,17.47,1718,Yes,No,POS,Fuel,0
77153.02,3,10,6,296.96,167,No,Yes,Online,Electronics,1
3043.93,7,1,0,40.22,2937,Yes,No,Online,Grocery,0
27032.67,1,17,2,254.1,168,No,Yes,Online,Jewellery,1
2438.93,7,5,1,30.76,1554,Yes,No,ATM,Electronics,0
5314.96,10,2,0,3.17,380,Yes,No,Transfer,Other,0
2398.96,18,1,0,13.18,1584,No,No,POS,Grocery,0
4282.18,19,1,0,19.32,988,Yes,No,POS,Grocery,0
1635.7,8,4,1,23.84,318,Yes,No,POS,Fuel,0
481.02,6,0,0,60.96,1604,Yes,No,Online,Travel,0
5654.45,16,2,0,15.39,142,Yes,No,Online,Other,0
10149.67,1,3,0,11.32,2784,Yes,No,Online,Jewellery,0
3973.61,10,4,0,10.68,2768,Yes,No,POS,Restaurant,0
67661.9,1,10,6,255.28,54,No,Yes,Transfer,Travel,1
3680.34,14,2,0,44.97,2600,No,No,POS,Other,1
8064.72,1,2,0,13.73,2480,Yes,No,POS,Travel,0
4007.42,19,2,0,29.46,2433,Yes,Yes,Online,Jewellery,0
5840.37,6,2,0,16.24,385,Yes,No,ATM,Other,0
5667.63,12,1,0,3.84,2982,No,No,Online,Travel,0
48714.63,0,12,6,371.91,75,No,Yes,Online,Electronics,1
43952.5,3,11,6,266.13,70,No,Yes,Online,Electronics,1
2234.34,10,1,0,28.8,2635,Yes,Yes,Transfer,Travel,0
4961.96,6,3,1,4.77,2299,No,No,Online,Restaurant,0
6551.11,18,6,0,6.33,1801,No,No,ATM,Electronics,0
7382.54,12,2,0,27.35,344,Yes,No,POS,Other,0
50878.83,0,16,3,288.13,38,No,Yes,Online,Jewellery,1
6164.17,6,2,0,3.27,1907,No,No,Online,Jewellery,0
2137.28,10,5,1,14.92,2113,Yes,No,ATM,Restaurant,0
3970.25,20,6,0,22.19,2156,Yes,No,Transfer,Restaurant,0
3723.59,23,3,0,62.21,755,Yes,No,Online,Restaurant,0
3437.08,9,2,1,35.28,2083,No,No,Transfer,Travel,0
4968.81,9,2,1,16.11,341,No,No,Online,Restaurant,0
2907.97,3,2,2,66.14,802,Yes,Yes,Online,Other,1
2911.16,13,6,2,75.66,62,Yes,No,Transfer,Travel,1
10546.72,5,2,0,43.83,2651,Yes,No,POS,Grocery,0
3240.74,19,3,0,4.7,1109,Yes,No,POS,Grocery,0
6836.56,12,1,1,20.13,1702,Yes,No,POS,Restaurant,0
7098.84,5,3,0,15.08,40,Yes,No,Online,Grocery,0
46658.53,1,9,4,284.9,108,No,Yes,Transfer,Jewellery,1
2997.81,19,3,1,68.09,1204,Yes,No,POS,Other,0
1692.51,7,2,0,73.28,1339,Yes,No,Online,Travel,0
791.44,2,3,0,15.75,1081,Yes,No,Online,Fuel,0
5213.73,6,3,1,19.04,1035,No,No,Online,Other,0
4515.77,9,6,0,6.08,927,Yes,No,POS,Electronics,0
5742.54,9,4,1,62.46,2696,Yes,No,POS,Grocery,0
2348.79,19,4,0,51.71,246,Yes,No,POS,Electronics,0
52408.43,1,21,4,236.53,61,No,Yes,Online,Electronics,1
4795.08,17,3,0,13.58,773,Yes,No,POS,Travel,0
3150.79,20,1,0,33.54,267,Yes,No,Online,Travel,0
448.47,3,3,1,33.04,2618,Yes,No,Online,Grocery,0
2559.36,3,3,0,24.28,1321,Yes,No,Online,Electronics,1
5926.52,21,1,0,48.7,2713,Yes,No,Online,Jewellery,0
8568.35,14,5,0,37.5,236,No,Yes,POS,Grocery,0
3524.55,5,5,0,29.77,226,Yes,Yes,Online,Other,0
9478.04,19,4,0,15.11,2611,Yes,No,POS,Grocery,0
1585.67,4,5,1,38.36,767,Yes,No,Online,Fuel,0
4610.94,18,3,0,29.66,1440,No,No,ATM,Grocery,0
4701.51,21,4,0,16.26,500,Yes,No,Online,Fuel,0
5242.27,11,2,0,17.52,791,Yes,No,POS,Fuel,0
3880.21,15,4,0,12.08,1736,Yes,Yes,POS,Electronics,0
4437.57,17,2,0,27.54,220,Yes,No,Online,Restaurant,0
39192.89,23,16,2,486.79,34,No,Yes,Transfer,Travel,1
8041.07,14,4,1,7.95,886,Yes,No,Online,Grocery,0
75343.08,4,8,3,326.31,77,No,Yes,Online,Jewellery,1
4316.88,4,3,0,46.11,1100,No,No,Online,Grocery,0
6496.59,8,5,0,19.4,2167,Yes,No,POS,Grocery,0
8207.93,1,3,0,24.83,2911,Yes,Yes,POS,Fuel,0
5190.67,16,5,0,10.12,1965,Yes,Yes,POS,Fuel,0
12005.43,8,2,0,9.19,2970,Yes,No,Online,Grocery,0
5486.16,17,4,0,16.21,2150,Yes,No,ATM,Other,0
1765.69,1,3,0,20.58,1393,Yes,No,POS,Grocery,0
25874.69,3,18,6,362.15,133,No,Yes,Transfer,Jewellery,1
6664.88,9,3,0,67.79,2742,Yes,No,Online,Fuel,0
8213.06,2,5,0,9.07,2797,No,No,Online,Travel,1
3938.99,19,2,2,5.2,2398,Yes,Yes,POS,Grocery,0
1650.85,14,2,0,4.57,301,Yes,No,Online,Grocery,0
2949.55,20,4,0,27.11,2310,No,No,Transfer,Fuel,0
1084.73,19,3,0,32.95,691,Yes,No,POS,Restaurant,0
5870.13,0,2,0,13.03,813,Yes,No,Online,Other,0
2534.77,20,1,0,25.69,2339,Yes,No,Online,Electronics,0
2001.54,1,3,0,49.41,2230,Yes,No,Transfer,Jewellery,1
6256.71,20,4,0,19.2,233,Yes,No,POS,Travel,0
9356.22,16,3,1,17.77,2973,Yes,Yes,ATM,Other,0
56952.9,3,13,2,394.01,39,No,Yes,Online,Travel,1
3957.33,11,8,1,31.56,2521,No,No,POS,Fuel,0
3042.74,3,5,0,11.95,2712,Yes,No,Online,Restaurant,0
8459.44,3,3,0,37.76,1631,Yes,No,Online,Restaurant,0
74760.81,1,16,4,153.86,148,No,Yes,Online,Electronics,1
1521.36,19,2,0,20.51,12,No,No,POS,Restaurant,0
3423.11,12,1,0,3.39,2163,Yes,No,Transfer,Grocery,0
7340.0,5,2,1,50.46,1136,Yes,No,Online,Electronics,1
2910.82,2,1,0,42.61,1265,Yes,No,Online,Electronics,0
2166.55,1,0,0,11.62,1965,Yes,No,POS,Other,0
3198.42,6,4,0,38.22,1253,Yes,No,Transfer,Grocery,0
27727.93,3,12,7,347.77,157,No,Yes,Transfer,Electronics,1
3039.81,21,4,0,38.71,2612,Yes,No,Transfer,Restaurant,0
2298.51,14,2,0,33.37,1222,Yes,No,POS,Grocery,0
13397.56,23,3,1,64.44,2162,Yes,No,POS,Other,1
570.25,9,4,0,32.68,2133,Yes,No,Online,Restaurant,0
1759.24,7,4,0,10.69,755,Yes,No,Online,Grocery,0
2165.24,16,0,0,25.81,2675,Yes,No,ATM,Jewellery,0
1572.58,3,4,0,18.39,2966,Yes,Yes,POS,Jewellery,0
4642.06,21,3,0,61.85,2107,No,No,Online,Grocery,0
1965.63,18,2,0,5.6,2551,Yes,Yes,POS,Other,0
978.74,0,4,0,25.01,1835,Yes,Yes,POS,Electronics,1
3710.7,4,2,0,10.24,931,Yes,No,Transfer,Travel,0
2785.82,15,3,0,73.21,685,Yes,No,Online,Jewellery,0
2041.59,17,3,2,27.16,2829,Yes,No,POS,Grocery,0
8323.16,5,4,0,35.05,2016,Yes,No,Online,Travel,0
60733.94,3,17,2,89.71,43,No,Yes,Transfer,Jewellery,1
4391.36,11,6,1,39.22,2517,Yes,No,POS,Restaurant,0
4822.59,16,1,0,10.72,1688,Yes,No,POS,Other,0
4654.73,10,1,0,11.39,1319,Yes,No,Online,Restaurant,0
2893.97,10,5,0,61.29,188,Yes,No,Online,Grocery,0
1982.54,9,4,0,109.72,2668,No,No,POS,Electronics,0
3769.27,3,4,0,3.87,222,No,No,POS,Other,0
2854.16,4,2,0,14.33,1022,Yes,No,POS,Fuel,0
561.83,4,5,0,49.0,1811,Yes,No,Online,Fuel,0
1457.37,19,8,1,33.31,1901,No,No,POS,Grocery,0
2588.47,10,7,1,12.11,1950,Yes,No,ATM,Grocery,0
6345.88,9,3,1,17.71,2525,Yes,Yes,Online,Grocery,0
3781.02,20,2,0,13.0,1539,Yes,No,POS,Grocery,0
1704.71,21,0,1,36.94,2664,Yes,No,ATM,Electronics,0
1350.07,5,5,0,12.07,1753,Yes,No,Online,Travel,0
7252.63,8,4,1,17.95,1410,No,No,POS,Electronics,0
2995.01,9,4,0,41.97,1163,Yes,Yes,ATM,Electronics,0
142.42,20,3,2,29.49,1387,Yes,No,Online,Restaurant,0
3138.87,16,2,1,53.68,1428,No,No,POS,Restaurant,0
5464.28,13,5,0,11.71,2836,Yes,No,POS,Electronics,0
1313.64,5,5,0,17.37,506,No,No,ATM,Electronics,0
3578.89,9,1,0,10.49,1404,No,No,POS,Other,0
3824.14,0,3,0,15.23,382,Yes,No,POS,Grocery,0
1384.33,16,3,0,6.45,20,No,No,ATM,Fuel,1
7685.36,22,2,1,1.49,1369,No,No,POS,Travel,0
3871.45,18,8,1,5.44,1459,Yes,No,Transfer,Electronics,0
2578.29,7,5,0,43.33,886,Yes,No,POS,Travel,0
3010.04,11,4,0,5.95,1816,Yes,No,POS,Grocery,0
1161.06,22,3,0,32.23,58,No,No,Online,Electronics,1
1117.53,10,3,0,15.95,2233,Yes,No,POS,Other,0
2396.42,20,3,0,18.39,1255,Yes,No,POS,Other,0
2513.6,13,4,1,6.72,246,Yes,No,POS,Jewellery,0
2864.24,11,3,0,13.5,2789,Yes,No,POS,Other,0
8127.82,14,7,0,27.48,1730,Yes,No,Transfer,Restaurant,0
5267.42,5,3,1,6.07,1421,Yes,No,POS,Grocery,0
661.21,10,5,0,12.7,1837,Yes,No,Transfer,Jewellery,0
7146.65,7,1,2,24.16,1658,Yes,No,Online,Other,1
2381.88,18,1,2,32.84,2042,Yes,No,Online,Jewellery,0
5611.73,14,6,1,18.95,2183,Yes,No,Online,Restaurant,0
2531.93,9,3,1,74.91,824,Yes,No,POS,Jewellery,0
3697.9,19,3,0,23.29,1940,No,No,Transfer,Grocery,0
1241.53,10,5,1,38.37,2302,Yes,No,Online,Grocery,0
4293.08,22,0,1,27.62,424,Yes,No,ATM,Restaurant,0
6042.98,14,1,0,16.27,2370,Yes,No,POS,Fuel,0
795.91,21,1,2,2.97,1048,Yes,No,Online,Electronics,1
48340.22,23,12,3,368.28,143,No,Yes,Transfer,Electronics,1
1975.87,7,1,0,41.76,2133,No,No,POS,Grocery,0
9825.99,6,1,2,72.96,2318,Yes,No,POS,Fuel,0
5681.29,20,3,0,16.42,1669,Yes,No,Online,Electronics,0
5037.2,5,3,0,92.88,1852,Yes,No,Online,Fuel,0
3023.14,18,5,0,40.03,1365,Yes,No,POS,Other,0
14947.11,4,1,1,53.99,1315,No,No,ATM,Other,0
2393.59,20,3,0,7.22,985,Yes,Yes,POS,Grocery,0
1486.71,16,3,0,25.11,2339,Yes,No,Transfer,Fuel,0
2032.36,12,0,1,65.06,1472,Yes,No,Online,Grocery,0
6772.41,10,5,0,7.06,391,Yes,No,ATM,Travel,0
59051.29,1,8,2,232.9,97,No,Yes,Transfer,Jewellery,1
3273.1,9,2,0,75.55,1078,No,No,Online,Grocery,0
2421.39,9,2,1,57.98,2239,No,No,POS,Jewellery,0
3150.09,4,4,0,23.03,2679,Yes,No,Transfer,Fuel,0
2293.51,3,4,0,12.91,507,Yes,No,POS,Electronics,0
5360.41,21,1,0,35.43,438,Yes,No,Online,Restaurant,0
2815.64,17,2,1,58.1,1564,No,No,POS,Grocery,0
2062.81,10,0,0,40.02,2784,Yes,Yes,POS,Other,0
6403.83,19,5,0,64.26,873,Yes,No,ATM,Grocery,0
1527.51,14,2,0,64.51,1891,Yes,No,POS,Travel,0
3684.48,14,5,0,33.02,2170,No,Yes,POS,Other,0
557.77,2,7,0,41.65,30,No,Yes,POS,Other,0
44995.9,2,14,4,126.38,123,No,Yes,Online,Travel,1
2591.1,2,2,0,3.46,475,No,No,Online,Jewellery,0
2260.79,16,2,0,28.34,2965,Yes,No,Online,Electronics,0
2258.08,1,2,0,7.25,166,Yes,No,Transfer,Grocery,0
5715.97,12,3,0,6.16,401,Yes,No,Online,Electronics,0
5939.41,8,2,0,48.97,2318,Yes,No,Transfer,Fuel,0
4200.03,3,3,0,14.43,484,Yes,No,POS,Other,0
1458.52,11,2,0,19.6,770,Yes,No,POS,Grocery,0
3132.1,4,4,1,9.5,1667,Yes,No,Online,Travel,0
10712.86,5,7,0,11.17,1713,Yes,No,POS,Restaurant,0
14031.92,21,4,0,22.14,2993,No,No,Online,Grocery,0
6444.79,8,2,1,29.87,2553,No,No,Online,Travel,0
1508.0,9,6,0,21.05,2514,Yes,No,POS,Travel,0
3152.42,0,5,0,34.7,2707,No,Yes,POS,Grocery,0
4009.81,7,7,0,43.53,1678,No,No,Transfer,Restaurant,0
3598.86,8,4,0,4.41,2524,No,Yes,Online,Electronics,0
6890.58,17,3,1,36.31,2125,Yes,No,Online,Electronics,0
5550.18,2,6,2,28.31,1513,Yes,No,Online,Grocery,0
1439.24,22,3,1,27.87,2812,No,No,POS,Electronics,0
2102.81,3,2,1,7.81,436,Yes,No,Online,Grocery,0
6427.1,15,3,1,17.02,1157,Yes,No,ATM,Restaurant,0
8300.49,0,3,1,38.53,1049,Yes,No,Transfer,Restaurant,0
4044.83,19,3,0,6.63,1633,Yes,No,POS,Grocery,0
8964.14,16,2,0,105.34,1011,Yes,Yes,POS,Grocery,0
55283.14,0,15,2,105.85,62,No,Yes,Online,Jewellery,1
1662.43,22,4,0,10.19,2971,Yes,No,POS,Electronics,0
5219.07,20,4,1,18.22,2256,Yes,No,POS,Restaurant,0
17948.11,14,1,2,5.76,2422,No,No,Online,Fuel,0
1169.36,20,1,1,50.48,1062,Yes,No,POS,Grocery,0
8748.8,2,2,1,21.32,974,Yes,No,Online,Fuel,0
5022.92,15,3,0,29.11,1549,Yes,No,Transfer,Restaurant,0
2004.06,23,1,0,24.48,1243,Yes,No,POS,Electronics,0
572.22,9,4,0,40.54,1957,Yes,No,POS,Restaurant,0
361.94,23,4,0,9.96,822,No,Yes,POS,Grocery,0
2254.48,12,7,0,125.08,432,Yes,No,Transfer,Travel,0
4482.2,11,4,1,40.57,1216,Yes,No,Online,Electronics,1
32003.31,2,20,4,312.57,151,No,Yes,Online,Travel,1
7068.88,2,1,2,30.99,249,Yes,No,POS,Fuel,0
4212.93,21,4,0,9.74,259,Yes,No,ATM,Electronics,0
3770.55,17,4,0,18.39,2506,Yes,No,Online,Electronics,0
2656.95,9,2,0,16.31,1148,Yes,No,POS,Other,0
4557.18,23,1,0,57.01,1601,No,No,POS,Electronics,0
76101.59,2,17,4,490.54,133,No,Yes,Transfer,Travel,1
1225.82,18,2,1,25.71,1819,Yes,No,ATM,Travel,1
57383.02,23,11,7,254.17,18,No,Yes,Online,Electronics,1
5816.48,14,2,0,39.8,598,Yes,No,Online,Travel,0
1002.22,0,6,0,13.31,2481,Yes,No,POS,Restaurant,0
2254.66,14,1,1,42.86,1360,Yes,No,Online,Grocery,0
3512.29,16,1,0,52.75,387,Yes,No,Transfer,Grocery,0
3459.52,23,5,1,88.84,1392,Yes,No,POS,Travel,0
4932.87,8,4,1,21.8,1508,Yes,No,POS,Fuel,0
10519.81,1,2,0,30.67,298,Yes,No,Online,Electronics,1
365.89,1,2,0,24.22,1455,Yes,No,POS,Fuel,0
10819.97,3,5,0,17.95,101,Yes,No,POS,Jewellery,0
10223.75,7,1,1,48.04,2000,No,No,POS,Restaurant,0
6189.47,19,3,0,17.08,1857,Yes,No,POS,Electronics,0
3992.32,4,2,0,40.87,375,No,No,POS,Fuel,0
2061.24,3,2,0,0.93,1719,No,No,Transfer,Travel,1
6139.63,0,6,0,13.23,805,No,No,Transfer,Restaurant,0
4137.79,9,2,0,49.01,1941,Yes,No,Online,Fuel,0
2700.39,14,4,0,25.31,717,Yes,No,POS,Grocery,0
6034.66,6,1,0,54.28,2689,No,No,POS,Travel,0
6735.03,11,4,0,25.9,1539,No,No,Online,Electronics,0
8258.97,5,2,0,46.36,2995,Yes,No,Online,Travel,0
1881.27,19,2,2,12.97,249,Yes,No,POS,Electronics,0
7580.56,0,0,1,41.4,2519,Yes,No,ATM,Travel,0
2738.86,4,5,1,35.88,178,Yes,No,Online,Other,1
4000.19,13,1,0,23.15,79,No,No,POS,Grocery,0
4559.73,20,3,2,46.91,514,Yes,Yes,ATM,Fuel,0
7183.87,9,2,1,52.4,927,No,No,Online,Other,0
5629.29,1,1,0,43.75,2693,Yes,No,ATM,Other,0
2665.94,13,2,1,48.16,2335,No,No,ATM,Electronics,0
423.4,6,3,1,35.98,234,No,No,POS,Electronics,0
4893.05,7,2,0,8.69,2704,Yes,No,Online,Travel,0
3884.11,22,2,1,27.93,716,No,No,POS,Travel,0
1155.59,22,5,1,23.44,2736,Yes,No,POS,Restaurant,0
49379.19,2,11,3,115.21,138,No,Yes,Online,Electronics,1
3480.15,14,2,0,52.95,2016,Yes,No,Online,Restaurant,0
8206.79,12,3,0,44.84,1884,No,No,ATM,Restaurant,1
11290.75,23,1,0,43.03,2542,Yes,Yes,POS,Fuel,0
6625.41,22,2,0,1.95,1864,Yes,No,POS,Jewellery,0
3334.96,8,4,0,23.9,488,Yes,Yes,ATM,Travel,0
3711.55,0,5,0,17.96,2988,No,Yes,POS,Other,1
1826.8,0,4,0,39.08,1183,Yes,No,POS,Travel,0
2121.85,0,3,1,62.32,2831,Yes,Yes,Online,Restaurant,0
3194.12,18,5,1,31.67,259,No,No,POS,Grocery,1
2951.51,17,0,2,6.79,2718,Yes,No,POS,Jewellery,0
1095.44,19,1,0,25.84,877,No,No,Online,Grocery,0
8261.94,3,3,2,0.21,2896,Yes,No,POS,Jewellery,0
9014.32,1,1,2,49.17,2331,Yes,No,POS,Fuel,0
8091.03,4,4,0,17.47,2922,Yes,No,POS,Jewellery,0
9211.59,15,7,1,56.85,567,No,No,ATM,Electronics,0
13382.43,0,6,1,58.14,2215,No,No,POS,Restaurant,0
1855.57,15,3,0,66.78,2229,Yes,Yes,ATM,Grocery,0
13020.86,21,6,0,17.19,2701,No,No,Transfer,Fuel,1
2653.47,3,7,1,96.75,2307,Yes,No,Online,Electronics,1
5400.84,17,5,0,56.66,281,No,No,ATM,Fuel,0
859.99,13,4,0,18.41,2640,Yes,Yes,Online,Grocery,0
2396.06,22,3,0,61.51,822,No,No,POS,Electronics,0
71355.82,23,17,2,285.26,12,No,Yes,Transfer,Jewellery,1
5576.93,5,3,0,34.01,2316,Yes,No,Transfer,Restaurant,0
2614.0,0,4,0,41.58,2243,Yes,No,ATM,Grocery,0
3710.36,16,3,0,39.38,1929,Yes,No,Transfer,Fuel,0
2200.12,20,4,0,13.68,2029,Yes,No,POS,Electronics,0
6738.16,0,3,0,65.26,1701,Yes,No,POS,Restaurant,0
8619.26,11,4,1,50.94,2353,Yes,No,POS,Electronics,0
1862.52,17,2,0,79.22,2766,Yes,No,ATM,Restaurant,0
3442.66,18,4,0,64.26,575,Yes,No,POS,Other,0
1054.32,22,2,1,56.08,2501,No,No,Online,Grocery,0
4126.97,17,2,2,56.63,2219,No,No,ATM,Jewellery,0
5021.69,22,2,0,41.46,1754,Yes,No,ATM,Grocery,0
4367.02,23,4,2,24.46,2729,No,No,POS,Restaurant,0
4755.04,22,0,0,42.89,2809,Yes,No,POS,Fuel,0
3179.67,10,7,1,12.61,1365,Yes,No,Online,Travel,0
3236.03,9,8,0,61.18,213,No,No,POS,Other,0
3125.7,10,3,0,116.32,75,Yes,Yes,POS,Fuel,1
2339.0,22,4,1,44.16,1846,Yes,No,POS,Jewellery,0
2572.59,6,1,0,19.61,1016,No,No,POS,Travel,0
4866.81,18,3,0,11.36,680,No,Yes,POS,Jewellery,0
8267.59,15,2,0,23.74,298,Yes,No,POS,Grocery,0
1596.35,1,1,0,57.01,805,Yes,No,ATM,Grocery,0
3227.08,11,4,0,39.54,1882,No,No,Online,Restaurant,0
1316.05,4,3,0,34.08,2386,No,No,Transfer,Fuel,0
2372.93,17,7,0,25.89,2506,Yes,No,Online,Jewellery,1
2691.69,10,2,1,37.48,1985,Yes,No,Online,Jewellery,0
3924.18,8,2,0,6.52,283,Yes,No,POS,Grocery,0
3847.01,1,4,0,21.15,2106,Yes,No,Online,Electronics,1
3420.17,3,4,0,20.08,1288,No,No,POS,Grocery,0
4598.1,18,3,0,20.87,398,Yes,No,Online,Grocery,0
1730.4,20,3,0,50.25,2021,No,No,Online,Other,0
3947.25,6,4,0,5.86,2869,Yes,No,Online,Jewellery,0
5684.08,19,5,2,20.87,2723,Yes,No,Online,Fuel,0
1712.09,13,2,0,29.83,2347,Yes,No,ATM,Travel,0
25652.22,1,9,6,445.49,90,No,Yes,Online,Electronics,1
6702.57,10,3,0,26.31,1493,Yes,No,POS,Grocery,0
1354.3,16,7,1,5.52,1588,No,No,POS,Fuel,0
2282.04,21,5,1,36.78,1242,Yes,No,ATM,Travel,0
5575.88,11,9,0,7.57,61,No,No,Transfer,Fuel,1
1639.06,8,4,0,10.8,1715,Yes,No,ATM,Fuel,0
6402.34,18,2,0,49.9,1176,No,No,Online,Electronics,1
2025.47,12,1,0,29.66,1040,Yes,No,ATM,Restaurant,0
1826.98,9,2,1,17.6,1041,No,No,Online,Restaurant,0
1321.9,11,1,0,97.62,2231,Yes,No,POS,Travel,0
2040.3,12,0,0,21.24,539,Yes,No,POS,Restaurant,0
5084.1,3,4,2,10.45,1648,Yes,No,ATM,Grocery,0
2282.37,1,3,1,4.07,438,Yes,No,ATM,Grocery,0
6720.49,15,2,1,56.67,2806,Yes,No,POS,Restaurant,0
3521.03,4,4,2,46.93,1113,No,No,POS,Fuel,0
3744.66,12,5,0,27.9,2735,Yes,No,Transfer,Grocery,0
67627.5,0,8,2,488.12,64,No,Yes,Online,Electronics,1
7373.26,5,4,0,41.22,2185,Yes,No,Online,Electronics,0
53207.4,3,9,3,474.51,103,No,Yes,Transfer,Travel,1
5608.46,23,3,1,0.97,469,Yes,No,Online,Fuel,0
3047.08,0,2,2,10.28,2861,Yes,No,POS,Fuel,0
72904.83,3,13,2,348.18,138,No,Yes,Transfer,Travel,1
3887.19,4,4,1,7.67,2590,Yes,No,POS,Fuel,0
4939.93,21,5,0,20.38,2169,Yes,Yes,ATM,Electronics,0
4973.18,9,5,1,25.96,21,Yes,No,POS,Fuel,0
35523.84,4,22,7,212.54,101,No,Yes,Online,Electronics,1
67547.98,4,11,4,216.09,25,No,Yes,Transfer,Jewellery,1
2017.5,3,2,0,13.83,2344,No,No,POS,Other,0
2097.89,8,4,0,10.35,1315,Yes,No,ATM,Electronics,0
69531.92,1,19,2,416.68,68,No,Yes,Online,Jewellery,1
6771.27,17,3,0,7.01,994,No,No,Online,Travel,1
10968.2,10,1,0,56.11,2513,No,No,POS,Other,0
17740.62,20,3,1,43.38,2402,Yes,No,ATM,Grocery,0
76077.66,1,20,7,205.51,70,No,Yes,Online,Travel,1
4411.34,8,4,0,25.58,2029,Yes,No,Online,Restaurant,0
3137.56,8,2,0,96.54,552,Yes,No,POS,Electronics,0
4033.12,19,4,0,51.3,593,No,No,Transfer,Travel,0
81020.82,1,13,5,304.35,37,No,Yes,Transfer,Jewellery,1
3091.05,3,2,1,26.96,269,Yes,No,ATM,Grocery,0
1839.35,18,5,0,13.34,2350,Yes,No,POS,Other,0
2802.8,9,3,1,9.9,1803,No,No,Online,Grocery,0
1968.78,8,3,1,11.49,138,No,No,POS,Other,1
4941.68,2,1,0,14.98,2531,No,No,POS,Grocery,1
5363.78,23,3,0,26.14,2714,No,No,POS,Restaurant,0
4318.7,1,4,0,29.83,1905,Yes,No,POS,Grocery,0
2104.9,23,5,1,20.54,2966,Yes,No,Online,Electronics,0
1252.9,1,4,0,18.2,743,Yes,No,Transfer,Grocery,0
5403.93,12,2,0,8.11,2865,Yes,No,POS,Grocery,0
3507.61,2,2,0,98.8,1676,Yes,No,POS,Restaurant,0
673.2,11,3,0,6.13,1995,Yes,No,POS,Other,0
3864.68,20,3,1,78.99,1597,Yes,No,Online,Restaurant,0
4433.91,14,6,0,20.84,2670,No,No,POS,Restaurant,0
908.35,13,2,0,20.07,2363,No,No,POS,Grocery,0
65886.02,1,11,2,171.78,58,No,Yes,Transfer,Jewellery,1
1043.72,22,0,0,41.74,1283,Yes,No,POS,Electronics,0
1926.75,9,7,0,10.81,2806,No,No,Online,Restaurant,0
1050.16,12,2,0,27.09,2166,No,No,POS,Travel,0
1767.05,21,1,1,38.12,1049,No,No,Online,Other,1
1262.59,15,3,0,2.52,786,No,No,POS,Other,0
6743.46,17,6,1,15.83,2401,Yes,No,Online,Fuel,0
2927.44,4,3,1,102.64,81,No,No,POS,Restaurant,1
2482.76,11,6,0,14.69,2677,Yes,No,Online,Other,0
7160.44,12,2,1,12.01,2311,Yes,No,POS,Fuel,0
6923.94,4,3,1,17.53,1718,Yes,No,POS,Restaurant,0
2635.41,9,5,0,118.85,2959,No,No,Online,Grocery,0
4261.29,19,1,0,79.89,810,Yes,No,Online,Electronics,0
2233.84,22,0,0,24.33,2959,Yes,No,POS,Jewellery,0
3260.98,19,4,1,55.17,410,No,No,POS,Fuel,0
1466.83,22,5,0,24.04,2255,Yes,Yes,POS,Other,0
4692.25,23,7,0,27.24,609,No,No,POS,Jewellery,0
7343.45,4,3,0,35.12,2006,No,No,Online,Travel,0
6525.05,20,3,0,46.07,1059,Yes,Yes,Transfer,Restaurant,1
3624.35,14,2,0,17.44,1129,Yes,No,Online,Restaurant,0
44488.01,23,8,6,392.58,132,No,Yes,Transfer,Electronics,1
20018.94,3,9,5,466.36,142,No,Yes,Online,Electronics,1
3258.04,2,3,0,8.17,1690,No,No,Online,Electronics,0
1122.03,13,2,0,23.5,1447,Yes,Yes,POS,Grocery,0
953.97,18,1,0,21.88,816,Yes,No,POS,Other,0
8658.96,2,1,0,3.72,2184,Yes,No,POS,Electronics,0
6034.97,12,2,0,11.58,745,Yes,Yes,Online,Grocery,1
4938.92,15,4,0,24.09,1705,Yes,No,Transfer,Other,0
5582.59,11,9,0,0.34,1099,No,No,POS,Grocery,0
1299.1,19,0,0,50.52,2691,Yes,No,POS,Electronics,0
1719.0,3,1,0,10.46,925,Yes,No,POS,Electronics,0
4085.95,8,3,2,40.76,2071,Yes,No,POS,Restaurant,0
4308.66,22,4,0,15.22,551,Yes,Yes,POS,Grocery,0
1063.58,12,5,0,25.36,927,Yes,No,Online,Restaurant,0
3888.05,4,4,0,46.22,1560,Yes,No,Online,Restaurant,0
3301.19,2,5,1,15.33,2748,Yes,No,Online,Fuel,0
6390.02,14,5,0,72.98,1224,No,No,POS,Restaurant,0
4323.21,22,4,0,135.36,539,Yes,No,POS,Grocery,0
9292.95,1,4,0,11.01,2676,No,No,ATM,Other,0
2646.61,2,2,1,13.75,646,Yes,No,ATM,Other,1
66647.5,23,12,2,273.3,125,No,Yes,Online,Electronics,1
60991.45,23,16,2,130.12,125,No,Yes,Transfer,Electronics,1
